Name	TrTime
081104	09:34:42
081102	17:44:39
081101	11:46:31
081029	01:43:56
081028A	00:25:00
081025	08:22:02
081024A	05:53:0
081022	14:23:48
081017	23:38:12
081016B	19:47:14
081012	13:10:23
081011	00:28:50
081008	19:58:09
081007	05:23:52
080928	15:01:32
080919	00:05:13
080916B	14:44:47
080916A	09:45:20
080915B	15:53:35
080915A	00:02:49
080913	06:46:54
080906	13:33:16
080905B	16:55:45
080905A	11:58:54
080903	01:12:23
080822B	21:02:52
080810	13:10:12
080805	07:41:34
080804	23:20:14
080802	15:12:21
080727C	23:07:35
080727B	08:13:24
080727A	05:57:39
080725	10:26:14
080723A	04:19:24
080721	10:25:16
080714	17:52:56
080710	07:13:10
080707	08:27:53
080703	19:00:13
080702B	01:10:41
080702A	11:50:43
080701	10:13:37
080623	10:25:28
080613B	11:12:37
080607	06:07:27
080605	23:47:57
080604	07:27:01
080603B	19:38:13
080602	01:30:28
080524	04:13:00
080523	21:21:51
080520	22:20:24
080517	21:22:51
080516	00:17:07
080515	06:01:13
080506	17:46:21
080503	12:26:13
080430	19:53:02
080426	13:23:22
080413B	08:51:12
080413A	02:54:19
080411	21:15:32
080409	01:22:57
080330	03:41:16
080328	08:03:04
080325	04:09:17
080320	04:37:38
080319D	17:05:09
080319C	12:25:56
080319B	06:12:49
080319A	05:45:42
080315	02:25:01
080310	08:37:58
080307	11:23:30
080303	09:10:35
080229A	17:04:59
080218B	23:57:47
080218A	20:08:42
080212	17:34:33
080210	07:50:05
080207	21:30:21
080205	07:55:51
080130	11:13:59
080129	06:06:45
080123	04:21:57
080121	21:29:55
071227	20:13:47
071129	00:03:55
071122	01:23:25
071118	08:57:17
071117	14:50:06
071112C	18:32:57
071112B	18:23:31
071101	17:53:46
071031	01:06:36
071028B	02:43:46
071028A	17:41:01
071025	04:08:54
071021	09:41:33
071020	07:02:26
071018	08:37:41
071013	12:09:19
071011	12:40:13
071010C	22:20:22
071010B	20:45:47
071010A	03:41:12
071008	21:55:56
071006	06:41:40
071003	07:40:55
071001	16:31:48
070923	19:15:23
070920B	21:04:32
070920A	04:00:13
070917	07:33:56
070913	00:36:43
070911	05:57:44
070810B	15:19:17
070810A	02:11:52
070809	19:22:17
070808	18:28:00
070805	19:55:45
070802	07:07:25
070731	09:33:22
070729	00:25:53
070724A	10:53:50
070721B	10:33:48
070721A	10:01:08
070714B	04:59:29
070714A	03:20:31
070704	20:05:57
070628	14:41:02
070621	23:17:39
070616	16:29:34
070612B	06:21:18
070612A	02:38:46
070611	01:57:14
070531	02:10:18
070529	12:48:28
070521	06:51:11
070520B	17:44:53
070520A	13:05:10
070518	14:26:21
070517	11:20:58
070509	02:48:27
070508	04:18:18
070506	05:35:58
070429B	03:09:04
070429A	01:35:10
070427	08:31:09
070420	06:18:14
070419B	10:44:06
070419A	09:59:26
070412	01:27:03
070411	20:12:33
070406	00:50:39
070330	22:51:31
070328	03:53:53
070326	16:29:12
070318	07:28:56
070306	16:41:28
070227	22:21:59
070224	20:27:58
070223	01:15:01
070220	04:44:33
070219	01:10:16
070209	03:33:42
070208	09:10:34
070129	23:35:10
070126	02:33:26
070110	07:22:42
070107	12:05:18
070103	20:46:39
061222B	04:11:02
061222A	03:28:52
061218	04:05:06
061217	03:40:08
061210	12:20:39
061202	08:11:45
061201	15:58:37
061126	08:47:56
061121	15:22:29
061110B	21:58:46
061110A	11:47:21
061102	01:00:31
061028	01:26:22
061027	10:15:02
061021	15:39:08
061019	04:19:07
061007	10:08:09
061006	16:45:51
061004	19:50:31
061002	01:03:30
060929	19:55:01
060927	14:07:35
060926	16:48:42
060923C	13:33:03
060923B	11:38:06
060923A	05:12:15
060919	07:48:39
060912A	13:55:54
060908	08:57:22
060906	08:32:47
060904B	02:31:04
060904A	01:03:21
060825	02:59:58
060814	23:02:19
060813	22:50:23
060807	14:41:35
060805A	04:47:49
060804	07:28:20
060801	12:16:15
060729	19:12:29
060728	22:24:31
060719	06:50:37
060717	09:07:39
060714	15:12:00
060712	21:07:44
060708	12:15:59
060707	21:30:19
060614	12:43:49
060607B	23:32:44
060607A	05:12:13
060605	18:15:45
060604	18:19:00
060602A	21:32:12
060526	16:28:30
060522	02:11:19
060516	06:43:35
060515	02:27:53
060512	23:13:21
060510B	08:22:15
060510A	07:43:28
060507	01:53:12
060505	06:36:01
060502B	17:24:41
060502A	03:03:32
060501	08:14:59
060428B	08:54:39
060428A	03:22:48
060427	11:43:11
060424	04:16:20
060421	00:39:23
060418	03:06:08
060413	18:40:23
060403	13:12:17
060323	14:32:36
060322	23:00:21
060319	00:55:43
060313	00:12:06
060312	01:36:13
060306	00:49:11
060223B	19:41:05
060223A	06:04:24
060219	22:48:05
060218	03:34:31
060211B	15:55:15
060211A	09:39:11
060210	04:58:50
060206	04:46:53
060204B	14:34:24
060203	23:55:35
060202	08:40:55
060124	15:54:52
060123	22:22:40
060117	06:50:02
060116	08:37:27
060115	13:08:01
060111B	20:15:43
060111A	04:23:06
060110	08:01:18
060109	16:54:41
060108	14:39:12
060105	06:49:27
060102	21:17:28
051227	18:07:16
051221B	20:03:20
051221A	01:51:16
051213	07:13:04
051210	05:46:21
051117B	13:22:54
051117A	10:51:20
051114	04:11:28
051113	15:22:35
051111	05:59:41
051109B	08:39:39
051109A	01:12:21
051105A	06:26:41
051021B	23:31:54
051016B	18:28:09
051016A	05:23:31
051012	17:05:54
051008	16:33:21
051006	20:30:33
051001	11:11:36
050925	09:04:34
050922C	19:55:50
050922B	15:02:00
050916	16:35:52
050915B	21:23:04
050915A	11:22:42
050911	15:59:34
050908	05:42:31
050906	10:32:05
050904	01:51:44
050827	18:57:15
050826	06:18:10
050824	23:12:16
050822	03:49:29
050820B	23:50:27
050820A	06:34:53
050819	16:23:55
050815	17:25:19
050814	11:38:57
050813	06:45:10
050803	19:14:00
050802	10:08:02
050801	18:28:02
050730	19:58:23
050726	05:00:18
050724	12:34:09
050721	04:29:14
050717	10:30:52
050716	12:36:04
050715	22:30:26
050714B	22:40:32
050713B	12:07:18
050713A	04:29:02
050712	14:00:28
050701	11:42:59
050607	09:11:23
