gcn_number grb_id T90 T90err
23721 190114B 26.5 6.7
23724 190114C NA NA
23780 190123A 24.4 4.3
23836 190202A 19.4 6.9
23872 190204A 26.4 7.5
23873 190203A 96 16
23887 190211A 12.48 1.46
23913 190219A 167.8 12.8
23914 190220A 10 2
23961 190311A 17 6.8
23980 190320A 64 12.1
24007 190324A 28.4 11.6
24020 190326A 0.08 0.03
24030 190331A 4.3 0.2
24157 190422A NA NA
24164 190424A 10.6 2.3
24330 190427A 0.3 0.1
24502 190511A 27.7 2.4
24520 190512A 40.1 11.3
24564 190515B 46.4 12.3
24606 190519A 45.58 2.86
24752 190604B 220.2 4.7
24783 190610A 0.62 0.11
24790 190611A 41.8 30.6
24819 190613A 17.6 3.1
24820 190613B 160.84 16.83
24899 190627A 1.6 0.28
24918 190630B 5.6 0.9
24941 190630C 38.4 9.3
24973 190701A 52.4 4
25003 190706B 25.16 6.35
25097 190718A 720 35.8
25129 190719C 185.7 9.7
25211 190727B 40.14 1.4
25405 190816A 375 92.9
25464 190821A 57.1 2.6
25482 190824A 169.4 5.9
25534 190828B 66.6 6.2
25579 190829A 58.2 8.9
25860 190926A 368.9 20.9
25930 191001B 108.9 15.1
25953 191004A 2.44 0.08
25955 191004B 37.7 14.9
26003 191011A 7.37 0.95
26012 191016A 219.7 183.35
26030 191017B 5.95 1.28
26046 191019A 64.35 4.45
26071 191024A 7.08 0.98
26110 191029A 39.5 7.9
26131 191031A 19.1 6.3
26132 191031C 93.2 19
26133 191031D 0.29 0.05
26167 191101A 137.95 22.83
26198 191106A 3.42 0.35
26275 191122A 153.3 38.3
26286 191123A 275.1 102.4
26418 191213A NA NA
26495 191218A 44.67 0.73
26535 191220A 175.55 125.93
26562 191221B 48 16
26607 191228A 166.9 10.2
26608 191227A 58.5 14.4
26670 200107B 86.68 11.64
26692 200109A 112 32
26780 200115A 158.4 32.6
26861 200122A 174.96 14.54
26897 200125A 350.83 34.03
26939 200127A 216.9 23.5
26967 200131A 32.74 0.88
27010 200205A NA NA
27012 200205B 458 5.4
27098 200215A 11.7 2.2
27117 200216B 81.3 13
27148 200219A 288 50.6
27194 200224A 45 9.2
27246 200227A 32.8 9.7
27273 200228B 7.37 1.58
27311 200303A 94.2 6.4
27346 200306A 32.87 1.13
27353 200306C 53.5 12.8
27443 200324A NA NA
27519 200409A 17.91 5.2
27545 200411A 0.22 0.04
27578 200410A 108.8 40.7
27601 200416A 5.04 0.73
27650 200425A 81 21.7
27713 200509A 828.2 13.4
27742 200512A 74 14.3
27771 200519A 71.88 1.28
27793 200522A 0.62 0.08
27839 200528A 58.7 1.4
27868 200529A 79.57 7.26
27913 200608A 119.2 34.7
27924 200612A 171.48 19.74
28051 200630A 14.83 3.63
